"30","25","20","1","50","60","35","21","80"
2098909.34493959,35779.0294502682,0,0,10809.201330849,0,0,0,879.858388512615
0,41283894.6307793,846647.538224355,30189.5077241647,7265.6852556339,28863.1166984157,0,6109.71128433604,0
0,0,523036.568126557,0,0,8863.31462859472,0,18302.5566728372,0
0,0,0,2483798.13570834,300884.793857721,0,0,0,0
0,0,0,0,68477.4860259079,0,0,0,0
0,0,0,0,0,2393025.53401879,0,0,0
0,0,0,0,0,0,1034209.49529533,0,0
0,0,0,0,0,0,0,56501.2531085802,0
0,0,0,0,0,0,0,0,35473.9889852019
